spectral_axis,intensity,uncertainty
4513.5,168.197708,172.006271
4514.97,206.084274,200.257782
4516.44,199.577393,196.573868
4517.91,196.643845,197.979645
4519.38,171.969131,164.477478
4520.85,189.271927,184.76535
4522.32,223.863968,226.073318
4523.79,201.975815,203.278824
4525.26,193.426392,193.345551
4526.73,191.789551,191.1978
4528.2,211.377106,207.973343
4529.67,205.623978,207.833801
4531.14,193.84166,198.577026
4532.61,183.471634,182.687866
4534.08,198.412796,199.496414
4535.55,194.128021,191.276962
4537.02,192.302841,194.144989
4538.49,181.972626,183.281586
4539.96,176.857361,179.238266
4541.43,170.024567,165.517548
4542.9,206.132568,205.060165
4544.37,208.851257,216.404129
4545.84,217.463974,219.128662
4547.31,206.627304,204.182724
4548.78,208.949158,206.193756
4550.25,196.019211,199.140762
4551.72,239.982925,241.400742
4553.19,210.423416,211.516983
4554.66,215.964645,221.877274
4556.13,218.213409,217.294708
4557.6,230.163971,225.819916
4559.07,228.106628,224.412827
4560.54,191.884842,189.676361
4562.01,201.881851,197.216324
4563.48,193.241943,189.822449
4564.95,152.327927,159.737198
4566.42,168.198654,169.944351
4567.89,202.28656,200.689148
4569.36,205.595764,207.300476
4570.83,196.759094,196.251923
4572.3,217.092987,223.545044
4573.77,233.111237,238.401657
4575.24,214.020096,216.196106
4576.71,223.77301,219.728943
4578.18,223.319977,219.517044
4579.65,194.678879,192.621857
4581.12,241.456055,243.420395
4582.59,243.224808,244.85524
4584.06,261.45694,261.092072
4585.53,240.840363,240.021729
4587,208.568817,207.607407
4588.47,225.727448,225.857224
4589.93,241.543518,235.374619
4591.4,211.375641,213.545273
4592.87,235.459717,242.381195
4594.34,231.982849,235.394333
4595.81,246.513809,243.454147
4597.28,260.358093,261.941101
4598.75,238.087784,242.846573
4600.22,223.424973,221.995102
4601.69,265.459869,266.790222
4603.16,270.503998,267.061157
4604.63,219.37117,220.056656
4606.1,256.239716,250.738434
4607.57,264.532318,257.28363
4609.04,242.26416,245.007904
4610.51,279.270355,282.099304
4611.98,246.223618,251.533173
4613.45,274.847656,271.527802
4614.92,306.065857,302.011749
4616.39,269.92511,271.975647
4617.86,256.402802,247.544067
4619.33,232.176224,225.334518
4620.8,227.344299,226.073654
4622.27,246.937424,251.133026
4623.74,277.833557,281.231476
4625.21,246.202988,245.180252
4626.68,267.951355,264.904327
4628.15,268.857147,273.355927
4629.62,245.171448,252.203506
4631.09,257.731567,255.268158
4632.56,251.716888,248.61998
4634.03,218.02858,215.560822
4635.5,206.630676,206.496994
4636.97,225.320374,227.220657
4638.44,234.831985,235.446564
4639.91,200.769012,202.806335
4641.38,211.514008,206.787994
4642.85,202.533264,195.937286
4644.32,245.183304,245.651718
4645.79,229.678162,228.647552
4647.26,257.451904,252.576538
4648.73,266.483307,273.589752
4650.2,308.395691,314.602142
4651.67,267.613434,259.179169
4653.14,279.295959,281.396698
4654.61,266.787781,271.317444
4656.08,219.94722,224.315277
4657.55,220.472961,217.795624
4659.02,241.827789,242.184509
4660.49,280.520538,281.798615
4661.96,227.060989,226.029144
4663.43,241.88063,244.189957
4664.9,267.32135,268.867401
4666.37,286.562683,284.85733
4667.84,251.834167,253.158096
4669.31,291.959198,288.576294
4670.78,237.932098,238.225342
4672.25,257.590179,259.528137
4673.72,265.549622,259.551483
4675.19,261.805573,259.374451
4676.66,278.280029,275.56665
4678.13,242.860886,239.831284
4679.6,256.235474,258.208588
4681.07,310.010681,309.905548
4682.54,238.374008,235.672653
4684.01,250.530457,252.786194
4685.48,266.508118,269.970703
4686.95,225.851074,224.629959
4688.42,270.651306,265.665436
4689.88,265.502136,263.51416
4691.35,226.42485,226.500534
4692.82,310.097198,309.006714
4694.29,236.938797,239.832428
4695.76,245.637405,242.113937
4697.23,283.783539,289.391052
4698.7,251.173309,248.236145
4700.17,253.493164,256.772461
4701.64,278.731445,279.218933
4703.11,246.764954,251.080566
4704.58,262.214264,263.709503
4706.05,250.204071,247.319778
4707.52,268.663879,269.875397
4708.99,284.384766,289.665985
4710.46,259.116547,252.623383
4711.93,237.987885,235.436447
4713.4,270.302368,270.927277
4714.87,270.569519,270.737152
4716.34,282.591522,282.996979
4717.81,276.173248,278.812042
4719.28,295.401245,293.229675
4720.75,261.971588,265.685272
4722.22,255.860153,256.186066
4723.69,278.718109,274.636322
4725.16,315.709076,309.815735
4726.63,306.584259,307.995514
4728.1,306.74707,313.645355
4729.57,277.955322,280.052185
4731.04,320.427063,319.265808
4732.51,268.288116,269.966766
4733.98,292.779755,296.067596
4735.45,293.074829,288.72522
4736.92,285.731506,285.169312
4738.39,322.020599,313.571198
4739.86,288.444824,287.988892
4741.33,312.679596,308.934357
4742.8,303.626312,285.748962
4744.27,281.911194,287.754547
4745.74,295.772858,300.923889
4747.21,259.953156,258.062042
4748.68,314.988068,315.039612
4750.15,265.090027,263.681152
4751.62,268.756622,267.322479
4753.09,275.23407,274.955719
4754.56,254.934067,258.63031
4756.03,231.51384,229.703644
4757.5,256.190491,255.743042
4758.97,227.515381,227.058685
4760.44,316.877289,315.851807
4761.91,255.036865,255.34169
4763.38,306.269989,301.624756
4764.85,246.48175,243.669373
4766.32,326.641266,328.724792
4767.79,293.880341,300.254608
4769.26,309.247437,310.681793
4770.73,337.279724,340.053711
4772.2,316.414337,312.660828
4773.67,239.846008,238.435654
4775.14,269.970917,270.456696
4776.61,235.630814,242.724655
4778.08,249.859528,221.594742
4779.55,270.70401,263.279327
4781.02,282.9021,283.708496
4782.49,289.169708,289.978973
4783.96,268.465576,272.060699
4785.43,324.674377,324.68338
4786.9,320.076904,311.768341
4788.37,255.414703,259.903229
4789.83,251.102585,254.569077
4791.3,269.492432,259.21051
4792.77,273.773438,271.17514
4794.24,295.175323,294.776794
4795.71,281.159454,282.537598
4797.18,294.855713,288.531067
4798.65,303.142212,300.145508
4800.12,261.981445,263.76886
4801.59,296.515808,296.088257
4803.06,301.886749,295.388977
4804.53,292.224152,291.178772
4806,316.505127,315.313568
4807.47,310.918945,311.3172
4808.94,279.226837,279.125977
4810.41,295.215576,297.580719
4811.88,282.664948,280.338745
4813.35,274.261139,272.71701
4814.82,255.698181,261.044159
4816.29,284.457031,278.245422
4817.76,295.298035,298.424988
4819.23,299.60791,293.762543
4820.7,281.415466,283.984833
4822.17,302.410767,300.071747
4823.64,281.576477,285.190338
4825.11,306.970734,304.236908
4826.58,260.727783,253.293808
4828.05,335.19516,331.642365
4829.52,305.442596,309.303894
4830.99,290.008209,284.313049
4832.46,291.00705,298.624573
4833.93,314.663391,321.189941
4835.4,302.224426,300.316162
4836.87,316.431305,316.018677
4838.34,321.387451,316.871948
4839.81,300.11084,307.767151
4841.28,285.959991,285.408783
4842.75,283.897552,285.849243
4844.22,292.765961,298.467438
4845.69,322.908173,319.721832
4847.16,311.250702,313.524658
4848.63,319.572144,320.304108
4850.1,332.508118,333.316071
4851.57,370.084229,362.852478
4853.04,342.498108,345.647491
4854.51,304.51709,297.120728
4855.98,303.080414,303.554749
4857.45,319.974518,318.961487
4858.92,340.281006,338.668243
4860.39,298.104553,291.03186
4861.86,348.318024,344.475769
4863.33,315.163513,323.655121
4864.8,333.914642,335.973083
4866.27,325.257812,322.359833
4867.74,349.32309,343.135254
4869.21,298.542358,300.544556
4870.68,303.645142,299.698059
4872.15,311.601166,314.580475
4873.62,334.046936,332.38382
4875.09,301.708496,305.657166
4876.56,335.233612,338.794861
4878.03,326.606201,327.621826
4879.5,263.223297,264.130096
4880.97,300.295227,299.41861
4882.44,320.339813,324.264191
4883.91,275.066132,276.988403
4885.38,308.596649,309.392212
4886.85,353.712341,353.292419
4888.31,334.458771,332.047607
4889.78,335.700562,337.352692
4891.25,318.079987,318.350555
4892.72,355.386658,354.814484
4894.19,369.245453,371.700836
4895.66,306.027679,305.811798
4897.13,304.792328,307.0914
4898.6,272.107269,269.504852
4900.07,324.88208,321.774261
4901.54,326.162292,336.32135
4903.01,329.048401,331.941498
4904.48,314.493439,311.280884
4905.95,338.572418,334.985199
4907.42,343.704346,345.593414
4908.89,320.379578,325.294617
4910.36,329.558899,327.423889
4911.83,302.520142,302.259216
4913.3,353.545074,348.873535
4914.77,329.320221,330.741302
4916.24,333.350067,336.707489
4917.71,402.969147,402.663361
4919.18,328.963501,322.589294
4920.65,356.249084,358.274689
4922.12,327.573883,327.648865
4923.59,380.207581,387.740936
4925.06,350.460968,346.798157
4926.53,319.537079,321.197723
4928,387.829102,382.832092
4929.47,301.902527,302.034241
4930.94,326.604553,329.511597
4932.41,320.710022,327.24173
4933.88,348.217163,352.72876
4935.35,343.656708,349.0112
4936.82,317.432159,321.512421
4938.29,315.510742,310.27829
4939.76,349.016541,349.496124
4941.23,340.368896,337.885437
4942.7,385.003387,386.010437
4944.17,347.937927,351.012421
4945.64,339.729523,341.003632
4947.11,327.091949,322.573639
4948.58,371.336151,371.139191
4950.05,357.316986,355.980652
4951.52,348.916595,348.156555
4952.99,389.535217,394.958923
4954.46,375.345001,374.976685
4955.93,316.772766,320.236938
4957.4,325.773773,327.749512
4958.87,341.322632,336.832886
4960.34,360.910583,361.549561
4961.81,324.775238,328.174255
4963.28,347.725464,348.417969
4964.75,357.409668,358.029633
4966.22,324.553558,326.657074
4967.69,363.252106,362.241211
4969.16,307.957703,306.320374
4970.63,309.924103,310.60849
4972.1,307.866241,305.967957
4973.57,287.502838,289.636688
4975.04,312.511292,309.469177
4976.51,283.589417,279.772186
4977.98,282.194641,282.680847
4979.45,285.585144,282.325439
4980.92,337.766785,333.124207
4982.39,278.328918,280.715729
4983.86,329.855804,329.478333
4985.33,331.244171,336.558258
4986.8,282.500702,278.106171
4988.26,334.446289,328.876404
4989.73,351.354248,351.483765
4991.2,348.962891,349.225586
4992.67,331.673553,335.383545
4994.14,344.220306,348.364777
4995.61,380.927277,381.778198
4997.08,353.077606,345.073853
4998.55,320.874786,317.544983
5000.02,329.407684,327.62851
5001.49,288.641052,286.820465
5002.96,333.943085,328.054657
5004.43,319.923889,313.076324
5005.9,341.927795,345.015991
5007.37,347.674103,348.835571
5008.84,340.320618,338.001709
5010.31,404.289215,408.467499
5011.78,404.798981,405.418671
5013.25,387.759674,386.779999
5014.72,427.487366,431.703156
5016.19,370.531921,364.43512
5017.66,340.889954,339.515137
5019.13,370.378998,372.790955
5020.6,346.624359,343.48999
5022.07,366.059113,365.562714
5023.54,354.858826,352.012482
5025.01,400.478027,394.448303
5026.48,357.099915,353.703552
5027.95,318.9534,318.991028
5029.42,345.240936,338.967407
5030.89,377.640442,375.597534
5032.36,354.265472,348.642365
5033.83,340.856476,347.022705
5035.3,330.016327,325.977203
5036.77,323.870361,317.860016
5038.24,351.379547,350.489227
5039.71,330.811646,329.567108
5041.18,354.606323,350.438477
5042.65,329.987793,324.189362
5044.12,358.897858,360.33847
5045.59,363.68399,368.930725
5047.06,370.991608,369.224548
5048.53,368.10376,364.316498
5050,360.567627,360.600128
5051.47,329.152863,320.188202
5052.94,366.918976,369.535004
5054.41,358.086823,360.170868
5055.88,333.088867,333.96228
5057.35,378.515442,382.070007
5058.82,336.548309,331.417206
5060.29,368.269501,358.555847
5061.76,397.772919,400.307861
5063.23,382.779572,384.088013
5064.7,374.319672,372.423706
5066.17,406.321655,401.228424
5067.64,402.859161,395.514496
5069.11,407.933258,402.158173
5070.58,377.871552,379.46637
5072.05,358.623199,361.424103
5073.52,359.265503,359.233917
5074.99,383.769958,379.340302
