spectral_axis,intensity
3287.0682,3.014248
3288.8411,1.034813
3290.6139,2.502969
3292.3868,2.82015
3294.1596,4.843174
3295.9324,0.928984
3297.7053,-0.8173857
3299.4781,0.9297754
3301.251,-0.9725051
3303.0238,-0.8264213
3304.7967,0.3677267
3306.5695,1.531274
3308.3423,1.542679
3310.1152,-2.451457
3311.888,2.325255
3313.6609,2.398896
3315.4337,-0.8006228
3317.2066,0.9258152
3318.9794,1.655925
3320.7522,4.102297
3322.5251,1.048209
3324.2979,-0.378177
3326.0708,5.274903
3327.8436,5.032293
3329.6164,2.939297
3331.3893,-0.1305905
3333.1621,1.007402
3334.935,36.04746
3336.7078,22.83227
3338.4807,-0.9976482
3340.2535,3.49111
3342.0263,0.9600086
3343.7992,2.176092
3345.572,2.006921
3347.3449,2.915881
3349.1177,2.861754
3350.8906,2.088562
3352.6634,0.9281719
3354.4362,-1.372075
3356.2091,0.9584877
3357.9819,0.3056633
3359.7548,0.806657
3361.5276,1.215691
3363.3005,-2.317577
3365.0733,-0.8960494
3366.8461,0.7529239
3368.619,-1.212376
3370.3918,-0.02206061
3372.1647,-0.4621344
3373.9375,-0.8499876
3375.7104,-0.2237773
3377.4832,0.2630318
3379.256,1.088264
3381.0289,1.554064
3382.8017,1.685064
3384.5746,0.2725174
3386.3474,0.1745943
3388.1203,1.186793
3389.8931,0.9541137
3391.6659,0.9981225
3393.4388,0.5334319
3395.2116,0.8275796
3396.9845,0.7515566
3398.7573,0.4621015
3400.5302,1.775068
3402.303,1.969858
3404.0758,0.9468527
3405.8487,2.353516
3407.6215,1.891524
3409.3944,0.1889883
3411.1672,1.156628
3412.9401,0.4225427
3414.7129,0.4165256
3416.4857,0.2414396
3418.2586,0.2436694
3420.0314,0.4529295
3421.8043,-0.8337452
3423.5771,0.3986571
3425.35,1.262046
3427.1228,1.195525
3428.8956,0.306437
3430.6685,-1.030768
3432.4413,0.6372144
3434.2142,1.079936
3435.987,0.9364532
3437.7599,1.511598
3439.5327,0.7543073
3441.3055,0.5766299
3443.0784,0.3796669
3444.8512,0.8397182
3446.6241,0.960413
3448.3969,0.2914875
3450.1697,0.8661035
3451.9426,0.3867651
3453.7154,0.5855697
3455.4883,0.8139047
3457.2611,0.06464124
3459.034,0.295206
3460.8068,0.3913285
3462.5796,1.320755
3464.3525,1.179118
3466.1253,0.003367061
3467.8982,0.2894732
3469.671,0.5864265
3471.4439,0.4447828
3473.2167,0.5140715
3474.9895,0.1163551
3476.7624,0.1252907
3478.5352,0.6859117
3480.3081,0.4911698
3482.0809,0.8418711
3483.8538,0.6592323
3485.6266,0.1219246
3487.3994,0.6411239
3489.1723,0.5931726
3490.9451,0.6828997
3492.718,0.3753196
3494.4908,-0.1127679
3496.2637,0.1794094
3498.0365,0.2147881
3499.8093,0.2847833
3501.5822,0.1962806
3503.355,0.1308986
3505.1279,0.6720418
3506.9007,-0.07679024
3508.6736,-0.1737924
3510.4464,0.1114254
3512.2192,-0.07650707
3513.9921,-0.6801869
3515.7649,-0.4899378
3517.5378,0.2334921
3519.3106,0.5471991
3521.0835,0.5409915
3522.8563,0.2810077
3524.6291,0.3861864
3526.402,0.4261071
3528.1748,0.228999
3529.9477,0.2565245
3531.7205,0.2326173
3533.4934,0.1714517
3535.2662,0.2802932
3537.039,0.2002037
3538.8119,0.3788697
3540.5847,0.404248
3542.3576,0.2952038
3544.1304,0.4814198
3545.9033,-0.173337
3547.6761,0.1082747
3549.4489,0.6477401
3551.2218,0.602477
3552.9946,0.3395411
3554.7675,0.1645019
3556.5403,0.2233438
3558.3132,0.01512641
3560.086,-0.1957977
3561.8588,0.4803115
3563.6317,0.7918078
3565.4045,0.1739826
3567.1774,0.3180039
3568.9502,0.5808915
3570.723,0.2582997
3572.4959,0.08514593
3574.2687,0.2511927
3576.0416,0.4304148
3577.8144,0.3698799
3579.5873,0.428053
3581.3601,0.5009772
3583.1329,0.5655561
3584.9058,0.4149815
3586.6786,0.4659718
3588.4515,0.5202796
3590.2243,0.4096282
3591.9972,0.6247036
3593.77,0.4890523
3595.5428,0.2611669
3597.3157,0.245555
3599.0885,0.1986932
3600.8614,0.4902141
3602.6342,0.4421115
3604.4071,0.2465215
3606.1799,0.3399491
3607.9527,0.1824999
3609.7256,0.2037743
3611.4984,0.1195059
3613.2713,0.08289568
3615.0441,0.2953144
3616.817,0.1149283
3618.5898,0.2008782
3620.3626,0.3947406
3622.1355,0.3911577
3623.9083,0.3190405
3625.6812,0.2379501
3627.454,0.4145242
3629.2269,0.4232641
3630.9997,0.3502554
3632.7725,0.4618722
3634.5454,0.4039671
3636.3182,0.3532621
3638.0911,0.5427225
3639.8639,0.4860558
3641.6368,0.5211591
3643.4096,0.4969566
3645.1824,0.3928925
3646.9553,0.4258318
3648.7281,0.2971573
3650.501,0.2475521
3652.2738,0.2953165
3654.0467,0.2739409
3655.8195,0.3147854
3657.5923,0.1862562
3659.3652,0.1757722
3661.138,0.2547274
3662.9109,0.4562851
3664.6837,0.6711301
3666.4566,0.5778869
3668.2294,0.5781745
3670.0022,0.3682239
3671.7751,0.3346599
3673.5479,0.7509738
3675.3208,0.6409789
3677.0936,0.6217425
3678.8665,0.7156426
3680.6393,0.6020455
3682.4121,0.6164963
3684.185,0.5460213
3685.9578,0.6375807
3687.7307,0.6659528
3689.5035,0.5836056
3691.2763,0.6729697
3693.0492,0.5968713
3694.822,0.632322
3696.5949,0.6204831
3698.3677,0.505601
3700.1406,0.5134882
3701.9134,0.5660572
3703.6862,0.7452595
3705.4591,0.6567678
3707.2319,0.4600201
3709.0048,0.5542717
3710.7776,0.641124
3712.5505,0.6925786
3714.3233,0.6907731
3716.0961,0.7317702
3717.869,0.6893653
3719.6418,0.5281485
3721.4147,0.6206097
3723.1875,0.5794939
3724.9604,0.4760826
3726.7332,0.6739637
3728.506,0.7767315
3730.2789,0.6003809
3732.0517,0.4892286
3733.8246,0.5958356
3735.5974,0.651711
3737.3703,0.4744009
3739.1431,0.6138445
3740.9159,0.6860178
3742.6888,0.5693168
3744.4616,0.5029411
3746.2345,0.5467232
3748.0073,0.6927404
3749.7802,0.5961924
3751.553,0.4823262
3753.3258,0.5935522
3755.0987,0.6538036
3756.8715,0.6456118
3758.6444,0.6373604
3760.4172,0.5842413
3762.1901,0.5611624
3763.9629,0.5802619
3765.7357,0.5570323
3767.5086,0.5389878
3769.2814,0.5962178
3771.0543,0.5865286
3772.8271,0.5507833
3774.6,0.6060566
3776.3728,0.7869232
3778.1456,0.6957261
3779.9185,0.6588291
3781.6913,0.6696072
3783.4642,0.6495842
3785.237,0.6239436
3787.0099,0.5633579
3788.7827,0.5646697
3790.5555,0.6348447
3792.3284,0.5902759
3794.1012,0.6742513
3795.8741,0.6192076
3797.6469,0.5534257
3799.4198,0.6671075
3801.1926,0.559509
3802.9654,0.6256968
3804.7383,0.5730145
3806.5111,0.5726204
3808.284,0.6941643
3810.0568,0.5495202
3811.8296,0.5623084
3813.6025,0.5690253
3815.3753,0.4368286
3817.1482,0.52598
3818.921,0.6367235
3820.6939,0.6194255
3822.4667,0.5459378
3824.2395,0.498542
3826.0124,0.5025113
3827.7852,0.5420648
3829.5581,0.7255946
3831.3309,0.6741686
3833.1038,0.4868099
3834.8766,0.4645954
3836.6494,0.4980147
3838.4223,0.5309002
3840.1951,0.5202276
3841.968,0.535418
3843.7408,0.5959121
3845.5137,0.6235985
3847.2865,0.6047559
3849.0593,0.5895381
3850.8322,0.6390668
3852.605,0.6679416
3854.3779,0.6158263
3856.1507,0.5216489
3857.9236,0.4509645
3859.6964,0.546447
3861.4692,0.5670425
3863.2421,0.5416991
3865.0149,0.5818319
3866.7878,0.5595556
3868.5606,0.5606787
3870.3335,0.5769289
3872.1063,0.5562525
3873.8791,0.5539709
3875.652,0.5774845
3877.4248,0.6144931
3879.1977,0.6141781
3880.9705,0.5080138
3882.7434,0.5219906
3884.5162,0.5859817
3886.289,0.4798679
3888.0619,0.4281457
3889.8347,0.5281317
3891.6076,0.6211678
3893.3804,0.5685798
3895.1533,0.5841173
3896.9261,0.6838835
3898.6989,0.6457042
3900.4718,0.6226079
3902.2446,0.6363307
3904.0175,0.7278983
3905.7903,0.6909667
3907.5632,0.6151083
3909.336,0.6054289
3911.1088,0.5732284
3912.8817,0.6534232
3914.6545,0.5711018
3916.4274,0.469385
3918.2002,0.5993753
3919.973,0.6187864
3921.7459,0.5934802
3923.5187,0.5897408
3925.2916,0.5723334
3927.0644,0.6000089
3928.8373,0.578591
3930.6101,0.7314177
3932.3829,0.6861278
3934.1558,0.6557844
3935.9286,0.7188073
3937.7015,0.5451738
3939.4743,0.5589756
3941.2472,0.6260636
3943.02,0.6283397
3944.7928,0.664719
3946.5657,0.6414277
3948.3385,0.6680601
3950.1114,0.6243134
3951.8842,0.6401833
3953.6571,0.6638763
3955.4299,0.6050894
3957.2027,0.6328878
3958.9756,0.6277671
3960.7484,0.5839046
3962.5213,0.6048089
3964.2941,0.4961792
3966.067,0.5460943
3967.8398,0.6323051
3969.6126,0.6332156
3971.3855,0.6170518
3973.1583,0.6357031
3974.9312,0.6142781
3976.704,0.571328
3978.4769,0.5211287
3980.2497,0.5180757
3982.0225,0.5347054
3983.7954,0.5128922
3985.5682,0.5580873
3987.3411,0.5714079
3989.1139,0.5179822
3990.8868,0.4754292
3992.6596,0.4613471
3994.4324,0.524675
3996.2053,0.5117971
3997.9781,0.4949329
3999.751,0.5870306
4001.5238,0.6138104
4003.2967,0.6670814
4005.0695,0.7088398
4006.8423,0.725817
4008.6152,0.6740844
4010.388,0.7466137
4012.1609,0.6677992
4013.9337,0.6089808
4015.7066,0.7037698
4017.4794,0.722375
4019.2522,0.6625907
4021.0251,0.7482936
4022.7979,0.7340908
4024.5708,0.736091
4026.3436,0.7817743
4028.1165,0.8302959
4029.8893,0.7745358
4031.6621,0.6803193
4033.435,0.766927
4035.2078,0.7669183
4036.9807,0.6472796
4038.7535,0.6698739
4040.5263,0.6847742
4042.2992,0.7365907
4044.072,0.7409126
4045.8449,0.7359138
4047.6177,0.7536749
4049.3906,0.7596929
4051.1634,0.7550001
4052.9362,0.7548396
4054.7091,0.7892593
4056.4819,0.7590153
4058.2548,0.7266976
4060.0276,0.7080606
4061.8005,0.6761407
4063.5733,0.6352189
4065.3461,0.6986092
4067.119,0.6859764
4068.8918,0.6363241
4070.6647,0.6517407
4072.4375,0.6655799
4074.2104,0.6517712
4075.9832,0.6643829
4077.756,0.661041
4079.5289,0.6524432
4081.3017,0.6550381
4083.0746,0.6977272
4084.8474,0.6662861
4086.6203,0.6934654
4088.3931,0.7202201
4090.1659,0.6686298
4091.9388,0.6612229
4093.7116,0.7363185
4095.4845,0.7523351
4097.2573,0.7508745
4099.0302,0.7686789
4100.803,0.7820665
4102.5758,0.757235
4104.3487,0.7656156
4106.1215,0.8348021
4107.8944,0.797806
4109.6672,0.7548964
4111.4401,0.8148481
4113.2129,0.830705
4114.9857,0.8022591
4116.7586,0.7861649
4118.5314,0.7512813
4120.3043,0.8133482
4122.0771,0.8428696
4123.85,0.763674
4125.6228,0.7938768
4127.3956,0.8259997
4129.1685,0.7931734
4130.9413,0.7972219
4132.7142,0.8282982
4134.487,0.8453296
4136.2599,0.8308887
4138.0327,0.8103739
4139.8055,0.7752686
4141.5784,0.7205807
4143.3512,0.7118444
4145.1241,0.7272894
4146.8969,0.7126297
4148.6698,0.7694885
4150.4426,0.7907705
4152.2154,0.8005444
4153.9883,0.8258243
4155.7611,0.8010656
4157.534,0.8100374
4159.3068,0.8578026
4161.0796,0.8767243
4162.8525,0.8924268
4164.6253,0.8806204
4166.3982,0.8439761
4168.171,0.902854
4169.9439,0.8143481
4171.7167,0.8111194
4173.4895,0.8635858
4175.2624,0.8464556
4177.0352,0.873321
4178.8081,0.8714112
4180.5809,0.8373553
4182.3538,0.8272421
4184.1266,0.8995924
4185.8994,0.9145613
4187.6723,0.8950406
4189.4451,0.8955011
4191.218,0.9343867
4192.9908,0.9360532
4194.7637,0.9232377
4196.5365,0.9565341
4198.3093,0.9375008
4200.0822,0.8874817
4201.855,0.9152737
4203.6279,0.9192483
4205.4007,0.9051292
4207.1736,0.8694612
4208.9464,0.9121837
4210.7192,0.8724127
4212.4921,0.8525524
4214.2649,0.9165071
4216.0378,0.8696198
4217.8106,0.8354695
4219.5835,0.8839874
4221.3563,0.8653454
4223.1291,0.8684446
4224.902,0.8721247
4226.6748,0.9116341
4228.4477,0.9029643
4230.2205,0.9070203
4231.9934,0.8746031
4233.7662,0.8547817
4235.539,0.8847036
4237.3119,0.8419545
4239.0847,0.9050401
4240.8576,0.8856476
4242.6304,0.8537512
4244.4033,0.9231313
4246.1761,0.9329134
4247.9489,0.9478357
4249.7218,0.9867116
4251.4946,0.9206037
4253.2675,0.9295193
4255.0403,0.9915377
4256.8132,0.9764183
4258.586,0.8970047
4260.3588,0.9102196
4262.1317,0.941657
4263.9045,0.8798117
4265.6774,0.8580156
4267.4502,0.9257216
4269.2231,0.9622856
4270.9959,0.9114479
