spectral_axis,intensity
3923.59,0
3925.22,0
3926.84,0
3928.46,0
3930.09,0
3931.71,0
3933.34,0
3934.96,0
3936.58,0
3938.21,0
3939.83,26186.3
3941.46,20616.02
3943.08,19745.98
3944.7,21287.05
3946.33,19841.17
3947.95,19341.32
3949.58,20014.66
3951.2,20121.69
3952.82,19869.62
3954.45,19617.84
3956.07,19235.68
3957.7,18628.16
3959.32,18839.54
3960.94,18513.07
3962.57,18523.4
3964.19,18623.07
3965.82,17933.54
3967.44,17040.34
3969.06,17188.46
3970.69,16847.55
3972.31,17522.31
3973.94,17770.75
3975.56,17134.09
3977.18,17933.45
3978.81,17804.6
3980.43,18968.88
3982.06,18743.63
3983.68,18770.89
3985.3,19244.94
3986.93,19139.95
3988.55,19430.12
3990.18,19734.41
3991.8,20065.29
3993.43,20938.23
3995.05,20655.37
3996.67,21163.73
3998.3,21183.46
3999.92,20877.13
4001.55,21383.66
4003.17,23008.35
4004.79,23448.24
4006.42,23812.13
4008.04,22952.7
4009.67,21916.51
4011.29,21044.27
4012.91,20899.1
4014.54,21099.12
4016.16,20387.22
4017.79,20847.12
4019.41,20199.33
4021.03,19997.42
4022.66,19511.27
4024.28,19681.32
4025.91,19697.72
4027.53,19748.49
4029.15,19631.23
4030.78,18412.2
4032.4,18420.25
4034.03,18519.83
4035.65,18571.06
4037.27,18383.99
4038.9,18581.18
4040.52,18356.08
4042.15,17881.7
4043.77,18007.75
4045.39,17902.46
4047.02,17725.4
4048.64,17906.76
4050.27,17858.79
4051.89,18134.65
4053.51,17570.56
4055.14,17672.76
4056.76,18007.3
4058.39,18667.51
4060.01,18252.4
4061.64,18478.97
4063.26,17821.08
4064.88,18113.05
4066.51,18098.98
4068.13,17766.01
4069.76,17228.31
4071.38,17309.76
4073,17023.6
4074.63,17060.62
4076.25,17502.59
4077.88,17839.94
4079.5,17475.54
4081.12,17799.75
4082.75,17824.72
4084.37,17392.21
4086,16947.88
4087.62,16840.22
4089.24,17598.85
4090.87,17323.06
4092.49,17276.83
4094.12,17683.85
4095.74,17276.77
4097.36,17232.35
4098.99,17822.32
4100.61,17298.43
4102.24,17932.63
4103.86,17991.52
4105.48,18685.84
4107.11,19269.98
4108.73,19481.72
4110.36,19020.25
4111.98,19108.75
4113.6,19270.53
4115.23,18711.3
4116.85,18730.35
4118.48,19113.62
4120.1,19341.17
4121.73,20373.48
4123.35,20342.37
4124.97,20533.02
4126.6,20502.28
4128.22,21064.22
4129.85,21413.89
4131.47,20916.94
4133.09,22305.45
4134.72,22035.68
4136.34,22006.93
4137.97,22684.85
4139.59,22895.74
4141.21,23983.77
4142.84,23498.98
4144.46,23115.14
4146.09,23678.25
4147.71,23114.11
4149.33,21542.03
4150.96,20906.99
4152.58,20971.45
4154.21,20196.02
4155.83,19916.7
4157.45,19696.99
4159.08,19218.25
4160.7,19572.77
4162.33,19197.87
4163.95,19068.58
4165.57,18913.53
4167.2,17926.31
4168.82,18154.84
4170.45,18087.08
4172.07,16960.15
4173.69,17384.46
4175.32,17055.57
4176.94,17204.14
4178.57,17076.79
4180.19,16847.93
4181.81,16903.97
4183.44,16878.96
4185.06,17219.22
4186.69,16523.24
4188.31,16511.69
4189.94,16569.53
4191.56,16923.34
4193.18,16640.97
4194.81,16158.06
4196.43,16437.21
4198.06,16612.27
4199.68,16869.63
4201.3,16693.95
4202.93,16590.6
4204.55,17025.44
4206.18,16394.66
4207.8,16181.26
4209.42,16789.9
4211.05,16187.85
4212.67,16513.72
4214.3,15548.23
4215.92,16102.94
4217.54,16340.6
4219.17,15997.82
4220.79,16417.92
4222.41,16004.14
4224.04,15542.58
4225.66,15961.83
4227.29,15899.67
4228.91,16055.38
4230.54,15534.09
4232.16,15573.23
4233.78,15876.91
4235.41,15869.34
4237.03,15880.16
4238.66,15386.84
4240.28,15266.65
4241.9,15264.46
4243.53,15756.71
4245.15,15575.56
4246.78,15222.79
4248.4,15665.48
4250.02,15366.54
4251.65,16058.51
4253.27,15918.21
4254.9,15858.95
4256.52,15810.53
4258.14,15929.27
4259.77,16348.48
4261.39,15523.8
4263.02,15924.86
4264.64,16078.01
4266.26,16016.41
4267.89,16225.47
4269.51,16295.05
4271.14,16312.38
4272.76,16741.85
4274.39,16471.22
4276.01,15697.28
4277.63,15976.4
4279.26,15904.96
4280.88,15976.02
4282.51,16090.69
4284.13,16311.04
4285.75,15932.63
4287.38,15943.52
4289,15868.52
4290.62,15297.86
4292.25,15768.06
4293.87,15593.16
4295.5,15799.45
4297.12,15750.63
4298.74,15532.14
4300.37,15559.14
4301.99,15456.16
4303.62,16066.96
4305.24,15993.42
4306.86,15975.76
4308.49,15836.43
4310.11,15195.27
4311.74,15183.74
4313.36,15382.35
4314.99,15439.69
4316.61,15823.8
4318.23,15761.8
4319.86,16065.57
4321.48,16032.86
4323.11,16251.93
4324.73,16168.05
4326.35,15882.82
4327.98,15945.69
4329.6,16112.08
4331.23,15916.81
4332.85,16161.54
4334.47,16349.39
4336.1,16146.29
4337.72,16204.79
4339.35,15693.58
4340.97,15631.63
4342.59,15526.85
4344.22,15898.27
4345.84,15968.39
4347.47,16230.98
4349.09,16385.65
4350.71,16520.87
4352.34,17337.73
4353.96,18004.18
4355.59,18260.04
4357.21,19275.81
4358.84,20040.89
4360.46,20405.49
4362.08,20620.08
4363.71,20174.18
4365.33,20333.92
4366.95,21409.45
4368.58,21500.82
4370.2,21713.19
4371.83,22488.81
4373.45,24468.34
4375.07,23968.65
4376.7,24206.39
4378.32,22845.17
4379.95,22939.64
4381.57,23215.69
4383.19,25596.99
4384.82,24817.19
4386.44,23828.66
4388.07,22874.83
4389.69,22627.82
4391.31,23342.04
