spectral_axis,intensity
5091.2,2.64E-15
5095.2,2.62E-15
5099.2,2.57E-15
5103.2,2.58E-15
5107.3,2.54E-15
5111.3,2.53E-15
5115.3,2.51E-15
5119.3,2.49E-15
5123.4,2.48E-15
5127.4,2.46E-15
5131.4,2.45E-15
5135.4,2.43E-15
5139.5,2.43E-15
5143.5,2.44E-15
5147.5,2.44E-15
5151.5,2.44E-15
5155.6,2.45E-15
5159.6,2.46E-15
5163.6,2.44E-15
5167.6,2.45E-15
5171.7,2.47E-15
5175.7,2.46E-15
5179.7,2.47E-15
5183.7,2.48E-15
5187.7,2.50E-15
5191.8,2.52E-15
5195.8,2.52E-15
5199.8,2.53E-15
5203.8,2.53E-15
5207.9,2.54E-15
5211.9,2.57E-15
5215.9,2.58E-15
5219.9,2.60E-15
5224,2.63E-15
5228,2.64E-15
5232,2.62E-15
5236,2.64E-15
5240.1,2.62E-15
5244.1,2.63E-15
5248.1,2.61E-15
5252.1,2.59E-15
5256.2,2.60E-15
5260.2,2.62E-15
5264.2,2.64E-15
5268.2,2.63E-15
5272.2,2.62E-15
5276.3,2.59E-15
5280.3,2.61E-15
5284.3,2.61E-15
5288.3,2.61E-15
5292.4,2.57E-15
5296.4,2.59E-15
5300.4,2.58E-15
5304.4,2.60E-15
5308.5,2.58E-15
5312.5,2.55E-15
5316.5,2.51E-15
5320.5,2.48E-15
5324.6,2.47E-15
5328.6,2.45E-15
5332.6,2.41E-15
5336.6,2.41E-15
5340.6,2.41E-15
5344.7,2.41E-15
5348.7,2.43E-15
5352.7,2.43E-15
5356.7,2.44E-15
5360.8,2.44E-15
5364.8,2.43E-15
5368.8,2.41E-15
5372.8,2.41E-15
5376.9,2.39E-15
5380.9,2.36E-15
5384.9,2.35E-15
5388.9,2.32E-15
5393,2.33E-15
5397,2.29E-15
5401,2.29E-15
5405,2.27E-15
5409.1,2.28E-15
5413.1,2.26E-15
5417.1,2.26E-15
5421.1,2.23E-15
5425.1,2.23E-15
5429.2,2.19E-15
5433.2,2.18E-15
5437.2,2.20E-15
5441.2,2.17E-15
5445.3,2.16E-15
5449.3,2.15E-15
5453.3,2.14E-15
5457.3,2.14E-15
5461.4,2.12E-15
5465.4,2.15E-15
5469.4,2.13E-15
5473.4,2.14E-15
5477.5,2.12E-15
5481.5,2.12E-15
5485.5,2.14E-15
5489.5,2.13E-15
5493.6,2.11E-15
5497.6,2.10E-15
5501.6,2.09E-15
5505.6,2.09E-15
5509.6,2.09E-15
5513.7,2.10E-15
5517.7,2.08E-15
5521.7,2.10E-15
5525.7,2.10E-15
5529.8,2.11E-15
5533.8,2.14E-15
5537.8,2.14E-15
5541.8,2.12E-15
5545.9,2.15E-15
5549.9,2.17E-15
5553.9,2.18E-15
5557.9,2.22E-15
5562,2.24E-15
5566,2.28E-15
5570,2.30E-15
5574,2.36E-15
5578.1,2.44E-15
5582.1,2.50E-15
5586.1,2.54E-15
5590.1,2.62E-15
5594.1,2.72E-15
5598.2,2.84E-15
5602.2,2.95E-15
5606.2,3.11E-15
5610.2,3.30E-15
5614.3,3.49E-15
5618.3,3.71E-15
5622.3,3.86E-15
5626.3,3.93E-15
5630.4,3.96E-15
5634.4,3.89E-15
5638.4,3.78E-15
5642.4,3.64E-15
5646.5,3.54E-15
5650.5,3.41E-15
5654.5,3.25E-15
5658.5,3.10E-15
5662.5,2.98E-15
5666.6,2.88E-15
5670.6,2.79E-15
5674.6,2.73E-15
5678.6,2.69E-15
5682.7,2.64E-15
5686.7,2.62E-15
5690.7,2.59E-15
5694.7,2.58E-15
5698.8,2.54E-15
5702.8,2.53E-15
5706.8,2.50E-15
5710.8,2.47E-15
5714.9,2.43E-15
5718.9,2.42E-15
5722.9,2.39E-15
5726.9,2.36E-15
5731,2.33E-15
5735,2.31E-15
5739,2.32E-15
5743,2.30E-15
5747,2.26E-15
5751.1,2.22E-15
5755.1,2.19E-15
5759.1,2.17E-15
5763.1,2.19E-15
5767.2,2.20E-15
5771.2,2.22E-15
5775.2,2.30E-15
5779.2,2.35E-15
5783.3,2.38E-15
5787.3,2.48E-15
5791.3,2.58E-15
5795.3,2.65E-15
5799.4,2.66E-15
5803.4,2.60E-15
5807.4,2.50E-15
5811.4,2.42E-15
5815.5,2.35E-15
5819.5,2.28E-15
5823.5,2.24E-15
5827.5,2.17E-15
5831.5,2.14E-15
5835.6,2.10E-15
5839.6,2.07E-15
5843.6,2.04E-15
5847.6,2.03E-15
5851.7,1.99E-15
5855.7,1.98E-15
5859.7,1.97E-15
5863.7,1.95E-15
5867.8,1.92E-15
5871.8,1.92E-15
5875.8,1.88E-15
5879.8,1.90E-15
5883.9,1.87E-15
5887.9,1.84E-15
5891.9,1.82E-15
5895.9,1.81E-15
5899.9,1.82E-15
5904,1.84E-15
5908,1.86E-15
5912,1.85E-15
5916,1.85E-15
5920.1,1.85E-15
5924.1,1.84E-15
5928.1,1.83E-15
5932.1,1.84E-15
5936.2,1.84E-15
5940.2,1.87E-15
5944.2,1.85E-15
5948.2,1.86E-15
5952.3,1.88E-15
5956.3,1.91E-15
5960.3,1.92E-15
5964.3,1.94E-15
5968.4,1.99E-15
5972.4,1.97E-15
5976.4,2.03E-15
5980.4,2.06E-15
5984.4,2.07E-15
5988.5,2.06E-15
5992.5,2.07E-15
5996.5,2.06E-15
6000.5,2.05E-15
6004.6,2.05E-15
6008.6,2.05E-15
6012.6,2.02E-15
6016.6,2.01E-15
6020.7,1.99E-15
6024.7,1.97E-15
6028.7,1.97E-15
6032.7,1.96E-15
6036.8,1.94E-15
6040.8,1.94E-15
6044.8,1.92E-15
6048.8,1.92E-15
6052.9,1.93E-15
6056.9,1.93E-15
6060.9,1.94E-15
6064.9,1.95E-15
6068.9,1.93E-15
6073,1.92E-15
6077,1.92E-15
6081,1.92E-15
6085,1.92E-15
6089.1,1.92E-15
6093.1,1.94E-15
6097.1,1.95E-15
6101.1,1.94E-15
6105.2,1.94E-15
6109.2,1.96E-15
6113.2,1.96E-15
6117.2,1.94E-15
6121.3,1.95E-15
6125.3,1.93E-15
6129.3,1.92E-15
6133.3,1.91E-15
6137.4,1.90E-15
6141.4,1.92E-15
6145.4,1.93E-15
6149.4,1.94E-15
6153.4,1.93E-15
6157.5,1.93E-15
6161.5,1.92E-15
6165.5,1.90E-15
6169.5,1.89E-15
6173.6,1.89E-15
6177.6,1.86E-15
6181.6,1.83E-15
6185.6,1.81E-15
6189.7,1.79E-15
6193.7,1.78E-15
6197.7,1.77E-15
6201.7,1.77E-15
6205.8,1.74E-15
6209.8,1.73E-15
6213.8,1.74E-15
6217.8,1.74E-15
6221.8,1.72E-15
6225.9,1.71E-15
6229.9,1.70E-15
6233.9,1.69E-15
6237.9,1.66E-15
6242,1.65E-15
6246,1.64E-15
6250,1.64E-15
6254,1.63E-15
6258.1,1.64E-15
6262.1,1.63E-15
6266.1,1.62E-15
6270.1,1.63E-15
6274.2,1.62E-15
6278.2,1.59E-15
6282.2,1.59E-15
6286.2,1.60E-15
6290.3,1.60E-15
6294.3,1.58E-15
6298.3,1.60E-15
6302.3,1.58E-15
6306.3,1.59E-15
6310.4,1.57E-15
6314.4,1.58E-15
6318.4,1.59E-15
6322.4,1.56E-15
6326.5,1.55E-15
6330.5,1.57E-15
6334.5,1.58E-15
6338.5,1.57E-15
6342.6,1.57E-15
6346.6,1.55E-15
6350.6,1.55E-15
6354.6,1.57E-15
6358.7,1.55E-15
6362.7,1.51E-15
6366.7,1.50E-15
6370.7,1.55E-15
6374.8,1.57E-15
6378.8,1.56E-15
6382.8,1.57E-15
6386.8,1.56E-15
6390.8,1.57E-15
6394.9,1.57E-15
6398.9,1.58E-15
6402.9,1.58E-15
6406.9,1.57E-15
6411,1.57E-15
6415,1.58E-15
6419,1.56E-15
6423,1.55E-15
6427.1,1.56E-15
6431.1,1.54E-15
6435.1,1.52E-15
6439.1,1.52E-15
6443.2,1.51E-15
6447.2,1.51E-15
6451.2,1.49E-15
6455.2,1.50E-15
6459.3,1.48E-15
6463.3,1.48E-15
6467.3,1.49E-15
6471.3,1.47E-15
6475.3,1.46E-15
6479.4,1.46E-15
6483.4,1.47E-15
6487.4,1.46E-15
6491.4,1.44E-15
6495.5,1.45E-15
6499.5,1.45E-15
6503.5,1.44E-15
6507.5,1.43E-15
6511.6,1.43E-15
6515.6,1.42E-15
6519.6,1.42E-15
6523.6,1.44E-15
6527.7,1.43E-15
6531.7,1.43E-15
6535.7,1.42E-15
6539.7,1.41E-15
6543.7,1.44E-15
6547.8,1.43E-15
6551.8,1.43E-15
6555.8,1.43E-15
6559.8,1.43E-15
6563.9,1.42E-15
6567.9,1.41E-15
6571.9,1.42E-15
6575.9,1.42E-15
6580,1.42E-15
6584,1.41E-15
6588,1.42E-15
6592,1.42E-15
6596.1,1.42E-15
6600.1,1.43E-15
6604.1,1.42E-15
6608.1,1.42E-15
6612.2,1.42E-15
6616.2,1.40E-15
6620.2,1.42E-15
6624.2,1.41E-15
6628.2,1.39E-15
