spectral_axis,intensity
3650,0.848309
3652,1.090305
3654,1.263417
3656,1.11906
3658,1.0284
3660,1.029305
3662,0.972247
3664,0.859358
3666,0.729863
3668,0.665051
3670,0.649348
3672,0.629705
3674,0.507059
3676,0.434621
3678,0.657814
3680,0.845918
3682,0.871313
3684,0.895028
3686,0.891732
3688,0.845659
3690,0.860457
3692,0.928306
3694,0.982521
3696,1.083714
3698,1.229234
3700,1.340701
3702,1.382962
3704,1.353237
3706,1.299152
3708,1.232659
3710,1.148009
3712,1.096637
3714,1.11402
3716,1.209138
3718,1.351945
3720,1.494558
3722,1.591356
3724,1.587931
3726,1.450617
3728,1.318408
3730,1.259023
3732,1.23253
3734,1.227554
3736,1.225163
3738,1.186522
3740,1.105232
3742,1.002359
3744,0.920229
3746,0.913509
3748,1.04113
3750,1.170819
3752,1.175343
3754,1.051146
3756,0.96656
3758,1.137024
3760,1.217409
3762,1.118026
3764,1.091726
3766,1.133728
3768,1.176053
3770,1.14271
3772,1.053602
3774,0.990017
3776,0.998417
3778,1.091016
3780,1.235955
3782,1.363059
3784,1.402412
3786,1.308457
3788,1.129528
3790,0.96585
3792,0.862137
3794,0.817227
3796,0.778327
3798,0.769216
3800,0.817357
3802,0.908404
3804,1.020711
3806,1.12326
3808,1.083326
3810,0.92094
3812,0.830409
3814,0.888243
3816,1.072858
3818,1.216763
3820,1.24261
3822,1.155634
3824,1.088754
3826,1.096831
3828,1.120546
3830,1.106718
3832,1.017415
3834,0.842751
3836,0.694517
3838,0.724629
3840,0.903105
3842,1.104456
3844,1.118414
3846,1.055863
3848,1.044555
3850,1.004815
3852,0.993959
3854,1.118801
3856,1.242934
3858,1.305226
3860,1.35705
3862,1.348649
3864,1.249331
3866,1.116346
3868,1.020323
3870,1.019418
3872,1.050823
3874,1.046235
3876,0.952861
3878,0.834222
3880,0.772964
3882,0.806307
3884,0.906336
3886,1.005138
3888,1.029046
3890,0.998223
3892,1.042035
3894,1.127654
3896,1.201255
3898,1.272852
3900,1.313755
3902,1.285259
3904,1.188913
3906,1.075701
3908,1.038804
3910,1.109755
3912,1.243709
3914,1.256956
3916,1.178638
3918,1.157443
3920,1.186715
3922,1.228007
3924,1.211206
3926,1.171724
3928,1.152403
3930,1.135861
3932,1.123842
3934,1.126039
3936,1.117638
3938,1.109303
3940,1.153437
3942,1.207523
3944,1.221157
3946,1.187749
3948,1.126362
3950,1.069821
3952,0.948532
3954,0.818649
3956,0.881716
3958,1.017738
3960,1.082809
3962,1.097542
3964,1.094505
3966,1.112533
3968,1.119448
3970,1.106847
3972,1.099222
3974,1.0936
3976,1.078415
3978,1.040419
3980,0.965914
3982,0.85225
3984,0.792931
3986,0.81755
3988,0.871636
3990,0.903041
3992,0.887661
3994,0.871248
3996,0.880101
3998,0.921457
4000,0.997125
4002,1.062131
4004,1.024717
4006,0.954735
4008,0.938064
4010,0.986915
4012,1.066654
4014,1.117121
4016,1.150206
4018,1.155505
4020,1.097736
4022,0.993506
4024,0.895545
4026,0.916029
4028,0.992925
4030,0.979161
4032,0.93451
4034,0.91493
4036,0.953701
4038,1.036607
4040,1.124811
4042,1.17321
4044,1.136959
4046,0.997319
4048,0.942005
4050,1.025234
4052,1.125328
4054,1.165133
4056,1.117703
4058,1.060128
4060,1.023554
4062,1.005138
4064,0.994346
4066,0.986851
4068,0.991632
4070,0.987303
4072,0.959711
4074,0.926949
4076,0.921004
4078,0.970502
4080,1.00223
4082,0.989241
4084,0.965656
4086,0.993119
4088,1.088819
4090,1.137153
4092,1.133018
4094,1.135344
4096,1.111435
4098,1.06911
4100,1.062131
4102,1.076864
4104,1.086815
4106,1.080547
4108,1.067107
4110,1.068658
4112,1.083649
4114,1.113955
4116,1.166748
4118,1.195439
4120,1.166619
4122,1.11305
4124,1.059611
4126,1.024006
4128,1.004556
4130,1.009726
4132,1.062325
4134,1.121903
4136,1.147621
4138,1.140707
4140,1.104456
4142,1.047657
4144,1.007722
4146,1.003264
4148,1.028853
4150,1.046816
4152,1.050306
4154,1.14704
4156,1.264128
4158,1.246423
4160,1.185358
4162,1.133534
4164,1.079707
4166,1.050823
4168,1.058448
4170,1.064716
4172,1.053343
4174,1.025622
4176,1.033311
4178,1.073439
4180,1.072535
4182,1.08016
4184,1.132501
4186,1.152338
4188,1.132953
4190,1.10982
4192,1.09192
4194,1.090628
4196,1.118026
4198,1.138833
4200,1.126233
4202,1.106459
4204,1.092049
4206,1.085911
4208,1.072858
4210,1.060645
4212,1.087332
4214,1.113503
4216,1.102324
4218,1.070338
4220,1.045912
4222,1.057414
4224,1.092437
4226,1.116604
4228,1.076864
4230,1.025557
4232,1.017351
4234,1.034216
4236,1.064651
4238,1.098059
4240,1.0978
4242,1.060516
4244,1.021357
4246,0.997125
4248,0.985623
4250,0.945753
4252,0.893154
4254,0.874608
4256,0.909761
4258,0.987044
4260,1.062325
4262,1.089852
4264,1.045524
4266,0.947304
4268,0.86666
4270,0.885206
4272,0.941359
4274,0.977416
4276,0.958612
4278,0.924235
4280,0.920164
4282,0.948338
4284,0.998805
4286,1.050758
4288,1.054248
4290,1.005913
4292,0.958225
4294,0.927337
4296,0.919518
4298,0.944461
4300,0.979226
4302,0.988402
4304,0.993442
4306,1.00042
4308,0.994023
4310,0.980518
4312,0.970502
4314,0.970761
4316,0.985106
4318,1.011858
4320,1.027302
4322,1.017027
4324,0.978838
4326,0.958548
4328,0.982327
4330,0.995703
4332,0.98782
4334,0.974638
4336,0.936513
