spectral_axis,intensity
3650,0.443807
3652,0.468806
3654,0.512406
3656,0.526606
3658,0.511407
3660,0.454713
3662,0.439407
3664,0.423315
3666,0.452204
3668,0.460006
3670,0.469614
3672,0.481221
3674,0.487407
3676,0.48492
3678,0.474503
3680,0.50892
3682,0.512406
3684,0.478309
3686,0.432115
3688,0.459602
3690,0.438812
3692,0.431202
3694,0.40261
3696,0.460601
3698,0.531113
3700,0.583704
3702,0.588402
3704,0.59242
3706,0.559003
3708,0.582514
3710,0.568802
3712,0.562
3714,0.506815
3716,0.455818
3718,0.411113
3720,0.376208
3722,0.343003
3724,0.337901
3726,0.441915
3728,0.526011
3730,0.540806
3732,0.533812
3734,0.626113
3736,0.731509
3738,0.812607
3740,0.851317
3742,0.825914
3744,0.661316
3746,0.46921
3748,0.385604
3750,0.449717
3752,0.481221
3754,0.457221
3756,0.413706
3758,0.387113
3760,0.416704
3762,0.440512
3764,0.459814
3766,0.508112
3768,0.510004
3770,0.505008
3772,0.524714
3774,0.578007
3776,0.653812
3778,0.652707
3780,0.588912
3782,0.537107
3784,0.507304
3786,0.494804
3788,0.48492
3790,0.4971
3792,0.61321
3794,0.695413
3796,0.704214
3798,0.64701
3800,0.600817
3802,0.552902
3804,0.512321
3806,0.522716
3808,0.521717
3810,0.482305
3812,0.45231
3814,0.476608
3816,0.521419
3818,0.53732
3820,0.582407
3822,0.607215
3824,0.584916
3826,0.56302
3828,0.537405
3830,0.564211
3832,0.564508
3834,0.5664
3836,0.50301
3838,0.421508
3840,0.417405
3842,0.407712
3844,0.450312
3846,0.463216
3848,0.462301
3850,0.427503
3852,0.430117
3854,0.498206
3856,0.573012
3858,0.591102
3860,0.556516
3862,0.568314
3864,0.543421
3866,0.584618
3868,0.589614
3870,0.607917
3872,0.602709
3874,0.597713
3876,0.605217
3878,0.629621
3880,0.619608
3882,0.648519
3884,0.620905
3886,0.600009
3888,0.540508
3890,0.514702
3892,0.525416
3894,0.573904
3896,0.55541
3898,0.547821
3900,0.485621
3902,0.479201
3904,0.484218
3906,0.525309
3908,0.603006
3910,0.636019
3912,0.650602
3914,0.656214
3916,0.664717
3918,0.668501
3920,0.69231
3922,0.698007
3924,0.729001
3926,0.714418
3928,0.70972
3930,0.640207
3932,0.559619
3934,0.486918
3936,0.512108
3938,0.549713
3940,0.563701
3942,0.518507
3944,0.463407
3946,0.435113
3948,0.419807
3950,0.42442
3952,0.444509
3954,0.483517
3956,0.567506
3958,0.64431
3960,0.658021
3962,0.645203
3964,0.602709
3966,0.578709
